,Unnamed: 0,AliasName,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
0,0,AirBiasVal,AIRBIASVAL,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
1,1,AirCv,AIRCV,Float,1.0,R/W,100.0,,,,,,,,,,Control Valve Air ,
2,2,AirDb,AIRDB,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
3,3,AirErrAlDb,AIRERRALDB,Float,1.0,R/W,100.0,,,,,,,,,,Error Air ,
4,4,AirErrNegAlLim,AIRERRNEGALLIM,Float,1.0,R/W,100.0,,,,,,,,,,Error Limit Air ,
5,5,AirErrPosAlLim,AIRERRPOSALLIM,Float,1.0,R/W,100.0,,,,,,,,,,Error Limit Air ,
6,6,AirFlwTmpComp,AIRFLWTMPCOMP,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
7,7,AirHtrInTmp,AIRHTRINTMP,Float,1.0,R/W,100.0,,,,,,,,,,Heater Air ,
8,8,AirHtrInTmpMax,AIRHTRINTMPMAX,Float,1.0,R/W,100.0,,,,,,,,,,Heater Air ,
9,9,AirHtrInTmpMin,AIRHTRINTMPMIN,Float,1.0,R/W,100.0,,,,,,,,,,Heater Air ,
10,10,AirHtrInTmpPct,AIRHTRINTMPPCT,Float,1.0,R/W,100.0,,,,,,,,,,Heater Air ,
11,11,AirHtrInTmpRng,AIRHTRINTMPRNG,Float,1.0,R/W,100.0,,,,,,,,,,Heater Air ,
12,12,AirKc,AIRKC,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
13,13,AirKcFast,AIRKCFAST,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
14,14,AirMeasFlw,AIRMEASFLW,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
15,15,AirMeasFlwPct,AIRMEASFLWPCT,Float,1.0,R/W,100.0,,,,,,,,,,Air ,
