TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,FddPosFb,%,,AiEu[46],AIEU[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdfSpdFb,%,,AiEu[50],AIEU[50],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdwFcvPosFb,%,,AiEu[55],AIEU[55],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgrdPosFb,%,,AiEu[48],AIEU[48],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgrfSpdFb,%,,AiEu[51],AIEU[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FlmSig1,%,,AiEu[40],AIEU[40],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FlmSig2,%,,AiEu[41],AIEU[41],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,GasFcvPosFb,%,,AiEu[52],AIEU[52],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFb,%,,AiEu[44],AIEU[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IdfSpdFb,%,,AiEu[49],AIEU[49],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IvdPosFb,%,,AiEu[45],AIEU[45],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,JckPosFb,%,,AiEu[43],AIEU[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OilFcvPosFb,%,,AiEu[53],AIEU[53],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OutDmpPosFb,%,,AiEu[54],AIEU[54],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,RemDmd,%,,AiEu[39],AIEU[39],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,StckOpac,%,,AiEu[42],AIEU[42],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,WbdPosFb,%,,AiEu[47],AIEU[47],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgOx,% ox,,AiEu[28],AIEU[28],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpPct,Air heater inlet temperature (%),,AiPct[37],AIPCT[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpAct,Air heater inlet temperature active,,StatBits[72].5,STATBITS[72].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
