GroupName,AliasName,ItemPath,DataType,ReadOnly,PollAlways,UpdateRate,ScalingType,ScalingOption1,ScalingOption2,ScalingOption3,ScalingOption4,ScalingOption5,RegisterInitialValue,EventEnabled,EventSource,EventCategory,EventSeverity,EventMessage,TriggerType,TimestampType
,AirBiasVal,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:MISCPRM[14].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirCv,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLDATA[25].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirDb,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[20].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirErrAlDb,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[28].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirErrNegAlLim,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[27].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirErrPosAlLim,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[26].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirFlwTmpComp,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLDATA[21].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirHtrInTmp,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:AIEU[37].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirHtrInTmpMax,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:AISCLMAX[37].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirHtrInTmpMin,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:AISCLMIN[37].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirHtrInTmpPct,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:AIPCT[37].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirHtrInTmpRng,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:AIRNG[37].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirKc,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[17].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirKcFast,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLPRM[231].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirMeasFlw,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLDATA[23].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
,AirMeasFlwPct,ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:CTLDATA[22].VALUE,0,1,0,1000,0,,,,,,,0,Alias,0,1,,0,0
