AliasName,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
AbsFarDev,ABSFARDEV,Float,1,R/W,100,,,,,,,,,,,
AckAlarm,ACKALARM,Boolean,1,R/W,100,,,,,,,,,,,
AiActBits0,AIACTBITS0,Short,1,R/W,100,,,,,,,,,,,
AirAutoAct,AIRAUTOACT,Boolean,1,R/W,100,,,,,,,,,,,
AirBiasSimFiring,AIRBIASSIMFIRING,Float,1,R/W,100,,,,,,,,,,,
AirBiasVal,AIRBIASVAL,Float,1,R/W,100,,,,,,,,,,,
AirCv,AIRCV,Float,1,R/W,100,,,,,,,,,,,
AirDb,AIRDB,Float,1,R/W,100,,,,,,,,,,,
AirErrAlDb,AIRERRALDB,Float,1,R/W,100,,,,,,,,,,,
AirErrNegAlEn,AIRERRNEGALEN,Boolean,1,R/W,100,,,,,,,,,,,
AirErrNegAlLim,AIRERRNEGALLIM,Float,1,R/W,100,,,,,,,,,,,
AirErrPosAlEn,AIRERRPOSALEN,Boolean,1,R/W,100,,,,,,,,,,,
AirErrPosAlLim,AIRERRPOSALLIM,Float,1,R/W,100,,,,,,,,,,,
AirFlwTmpComp,AIRFLWTMPCOMP,Float,1,R/W,100,,,,,,,,,,,
AirFuelDev,AIRFUELDEV,Float,1,R/W,100,,,,,,,,,,,
AirHtrInTmp,AIRHTRINTMP,Float,1,R/W,100,,,,,,,,,,,
AirHtrInTmpAct,AIRHTRINTMPACT,Boolean,1,R/W,100,,,,,,,,,,,
AirHtrInTmpMax,AIRHTRINTMPMAX,Float,1,R/W,100,,,,,,,,,,,
AirHtrInTmpMin,AIRHTRINTMPMIN,Float,1,R/W,100,,,,,,,,,,,
AirHtrInTmpPct,AIRHTRINTMPPCT,Float,1,R/W,100,,,,,,,,,,,
AirHtrInTmpRng,AIRHTRINTMPRNG,Float,1,R/W,100,,,,,,,,,,,
AirKc,AIRKC,Float,1,R/W,100,,,,,,,,,,,
AirKcFast,AIRKCFAST,Float,1,R/W,100,,,,,,,,,,,
AirLeadsFuel,AIRLEADSFUEL,Boolean,1,R/W,100,,,,,,,,,,,
AirMeasFlw,AIRMEASFLW,Float,1,R/W,100,,,,,,,,,,,
AirMeasFlwPct,AIRMEASFLWPCT,Float,1,R/W,100,,,,,,,,,,,
AirMeasTmp,AIRMEASTMP,Float,1,R/W,100,,,,,,,,,,,
AirOut,AIROUT,Float,1,R/W,100,,,,,,,,,,,
AirOutDec,AIROUTDEC,Boolean,1,R/W,100,,,,,,,,,,,
AirOutDecX10,AIROUTDECX10,Boolean,1,R/W,100,,,,,,,,,,,
AirOutInc,AIROUTINC,Boolean,1,R/W,100,,,,,,,,,,,
AirOutIncX10,AIROUTINCX10,Boolean,1,R/W,100,,,,,,,,,,,
AirOutLtoffDual,AIROUTLTOFFDUAL,Float,1,R/W,100,,,,,,,,,,,
AirOutLtoffGas,AIROUTLTOFFGAS,Float,1,R/W,100,,,,,,,,,,,
AirOutLtoffOil,AIROUTLTOFFOIL,Float,1,R/W,100,,,,,,,,,,,
AirOutStby,AIROUTSTBY,Boolean,1,R/W,100,,,,,,,,,,,
AirOutTrk,AIROUTTRK,Boolean,1,R/W,100,,,,,,,,,,,
AirPidFast,AIRPIDFAST,Boolean,1,R/W,100,,,,,,,,,,,
AirPidForceSWM,AIRPIDFORCESWM,Boolean,1,R/W,100,,,,,,,,,,,
AirPidMan1,AIRPIDMAN1,Boolean,1,R/W,100,,,,,,,,,,,
AirPidMan2,AIRPIDMAN2,Boolean,1,R/W,100,,,,,,,,,,,
AirPidTrk,AIRPIDTRK,Boolean,1,R/W,100,,,,,,,,,,,
AirPv,AIRPV,Float,1,R/W,100,,,,,,,,,,,
AirPvAlDb,AIRPVALDB,Float,1,R/W,100,,,,,,,,,,,
AirPvGas,AIRPVGAS,Float,1,R/W,100,,,,,,,,,,,
AirPvHiAlEn,AIRPVHIALEN,Boolean,1,R/W,100,,,,,,,,,,,
AirPvHiAlLim,AIRPVHIALLIM,Float,1,R/W,100,,,,,,,,,,,
AirPvLoAlEn,AIRPVLOALEN,Boolean,1,R/W,100,,,,,,,,,,,
AirPvLoAlLim,AIRPVLOALLIM,Float,1,R/W,100,,,,,,,,,,,
AirPvMax,AIRPVMAX,Float,1,R/W,100,,,,,,,,,,,
AirPvMin,AIRPVMIN,Float,1,R/W,100,,,,,,,,,,,
AirPvOil,AIRPVOIL,Float,1,R/W,100,,,,,,,,,,,
AirPvPreFar,AIRPVPREFAR,Float,1,R/W,100,,,,,,,,,,,
AirPvPreTrim,AIRPVPRETRIM,Float,1,R/W,100,,,,,,,,,,,
AirPvRng,AIRPVRNG,Float,1,R/W,100,,,,,,,,,,,
AirPvSpDev,AIRPVSPDEV,Float,1,R/W,100,,,,,,,,,,,
AirRefTmp,AIRREFTMP,Float,1,R/W,100,,,,,,,,,,,
AirSelAuto,AIRSELAUTO,Boolean,1,R/W,100,,,,,,,,,,,
AirSelMan,AIRSELMAN,Boolean,1,R/W,100,,,,,,,,,,,
AirSp,AIRSP,Float,1,R/W,100,,,,,,,,,,,
AirSpare2,AIRSPARE2,Float,1,R/W,100,,,,,,,,,,,
AirSpareParm1,AIRSPAREPARM1,Float,1,R/W,100,,,,,,,,,,,
AirSpHiLim,AIRSPHILIM,Float,1,R/W,100,,,,,,,,,,,
AirSpHiLimAct,AIRSPHILIMACT,Boolean,1,R/W,100,,,,,,,,,,,
AirSpLoLim,AIRSPLOLIM,Float,1,R/W,100,,,,,,,,,,,
AirSpLoLimAct,AIRSPLOLIMACT,Boolean,1,R/W,100,,,,,,,,,,,
AirSpTrk,AIRSPTRK,Boolean,1,R/W,100,,,,,,,,,,,
AirTd,AIRTD,Float,1,R/W,100,,,,,,,,,,,
AirTdFast,AIRTDFAST,Float,1,R/W,100,,,,,,,,,,,
AirTi,AIRTI,Float,1,R/W,100,,,,,,,,,,,
AirTiFast,AIRTIFAST,Float,1,R/W,100,,,,,,,,,,,
AirTmpAtMaxFgrHiDmd,AIRTMPATMAXFGRHIDMD,Float,1,R/W,100,,,,,,,,,,,
AirTmpAtMaxFgrLoDmd,AIRTMPATMAXFGRLODMD,Float,1,R/W,100,,,,,,,,,,,
AirTmpAtMinFgrHiDmd,AIRTMPATMINFGRHIDMD,Float,1,R/W,100,,,,,,,,,,,
AirTmpAtMinFgrLoDmd,AIRTMPATMINFGRLODMD,Float,1,R/W,100,,,,,,,,,,,
AirXlmAct,AIRXLMACT,Boolean,1,R/W,100,,,,,,,,,,,
AiSpare69,AISPARE69,Float,1,R/W,100,,,,,,,,,,,
AiSpare69Act,AISPARE69ACT,Boolean,1,R/W,100,,,,,,,,,,,
AiSpare69Max,AISPARE69MAX,Float,1,R/W,100,,,,,,,,,,,
AiSpare69Min,AISPARE69MIN,Float,1,R/W,100,,,,,,,,,,,
AiSpare69Pct,AISPARE69PCT,Float,1,R/W,100,,,,,,,,,,,
AiSpare69Rng,AISPARE69RNG,Float,1,R/W,100,,,,,,,,,,,
AiSpare80Act,AISPARE80ACT,Boolean,1,R/W,100,,,,,,,,,,,
AiSpare80Eu,AISPARE80EU,Float,1,R/W,100,,,,,,,,,,,
AiSpare80Max,AISPARE80MAX,Float,1,R/W,100,,,,,,,,,,,
AiSpare80Min,AISPARE80MIN,Float,1,R/W,100,,,,,,,,,,,
AiSpare80Pct,AISPARE80PCT,Float,1,R/W,100,,,,,,,,,,,
AiSpare80Rng,AISPARE80RNG,Float,1,R/W,100,,,,,,,,,,,
AlAckMask,ALACKMASK,Short,1,R/W,100,,,,,,,,,,,
AlAirErrNeg,ALAIRERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlAirErrPos,ALAIRERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlAirHtrInTmpAif,ALAIRHTRINTMPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlAirOlh,ALAIROLH,Boolean,1,R/W,100,,,,,,,,,,,
AlAirOll,ALAIROLL,Boolean,1,R/W,100,,,,,,,,,,,
AlAirPvHi,ALAIRPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlAirPvLo,ALAIRPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlAirPvSrcFail,ALAIRPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlAirSpLimErr,ALAIRSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlAirSpor,ALAIRSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlAiSpare69Aif,ALAISPARE69AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlAiSpare80Aif,ALAISPARE80AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlAphStmFlwAif,ALAPHSTMFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlarmAck,ALARMACK,Boolean,1,R/W,100,,,,,,,,,,,
AlarmAckAct,ALARMACKACT,Boolean,1,R/W,100,,,,,,,,,,,
AlarmAckOsr,ALARMACKOSR,Boolean,1,R/W,100,,,,,,,,,,,
AlarmIndex,ALARMINDEX,Long,1,R/W,100,,,,,,,,,,,
AlB78Trx1OilLvlLo,ALB78TRX1OILLVLLO,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx1PrsHi,ALB78TRX1PRSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx1PrsSud,ALB78TRX1PRSSUD,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx1TmpHi,ALB78TRX1TMPHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx2OilLvlLo,ALB78TRX2OILLVLLO,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx2PrsHi,ALB78TRX2PRSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx2PrsSud,ALB78TRX2PRSSUD,Boolean,1,R/W,100,,,,,,,,,,,
AlB78Trx2TmpHi,ALB78TRX2TMPHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7AirCompAlm,ALB7AIRCOMPALM,Boolean,1,R/W,100,,,,,,,,,,,
AlB7AirDryrAAlm,ALB7AIRDRYRAALM,Boolean,1,R/W,100,,,,,,,,,,,
AlB7AirDryrBAlm,ALB7AIRDRYRBALM,Boolean,1,R/W,100,,,,,,,,,,,
AlB7AirPrsAif,ALB7AIRPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlB7BlrHallTmpHi,ALB7BLRHALLTMPHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7BlrHallTmpLo,ALB7BLRHALLTMPLO,Boolean,1,R/W,100,,,,,,,,,,,
AlB7ChemCondAif,ALB7CHEMCONDAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlB7ChemFdCp,ALB7CHEMFDCP,Boolean,1,R/W,100,,,,,,,,,,,
AlB7CondRetFlwAif,ALB7CONDRETFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlB7DeminFlwAif,ALB7DEMINFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlB7ElecRmTmpHi,ALB7ELECRMTMPHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7ElecRmTmpLo,ALB7ELECRMTMPLO,Boolean,1,R/W,100,,,,,,,,,,,
AlB7FdwCondHi,ALB7FDWCONDHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7FdwCondHiHi,ALB7FDWCONDHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7HdrAirPrsHi,ALB7HDRAIRPRSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7HdrAirPrsLo,ALB7HDRAIRPRSLO,Boolean,1,R/W,100,,,,,,,,,,,
AlB7HdrGasPrsHi,ALB7HDRGASPRSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7HtTrcOk,ALB7HTTRCOK,Boolean,1,R/W,100,,,,,,,,,,,
AlB7OilWtrLkAlm,ALB7OILWTRLKALM,Boolean,1,R/W,100,,,,,,,,,,,
AlB7OilWtrLvlHi,ALB7OILWTRLVLHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7OilWtrLvlHiHi,ALB7OILWTRLVLHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7WtrPrsAif,ALB7WTRPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlB7WtrPrsHi,ALB7WTRPRSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlB7WtrPrsLo,ALB7WTRPRSLO,Boolean,1,R/W,100,,,,,,,,,,,
AlBattLow,ALBATTLOW,Boolean,1,R/W,100,,,,,,,,,,,
AlBiasFcvPosHi,ALBIASFCVPOSHI,Boolean,1,R/W,100,,,,,,,,,,,
AlBiasFcvPosHiHi,ALBIASFCVPOSHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlBiasFcvPosLo,ALBIASFCVPOSLO,Boolean,1,R/W,100,,,,,,,,,,,
AlBiasFcvPosLoLo,ALBIASFCVPOSLOLO,Boolean,1,R/W,100,,,,,,,,,,,
